State		Manufacturer		Current.Amperes
Original		B		2.29
Rewinded		B		3.10
Original		B		2.28
Rewinded		B		3.05
Original		B		2.29
Rewinded		B		3.02
Original		B		2.35
Rewinded		B		2.96
Original		B		2.25
Rewinded		B		2.89
Original		B		2.33
Rewinded		B		2.99
Original		B		2.31
Rewinded		B		3.05
Original		B		2.21
Rewinded		B		3.03
Original		B		2.25
Rewinded		B		3.01
Original		B		2.31
Rewinded		B		3.08
Original		A		2.42
Rewinded		A		2.87
Rewinded		A		3.01
Original		A		2.43
Rewinded		A		2.95
Original		A		2.38
Rewinded		A		2.81
Rewinded		A		2.93
Original		A		2.46
Rewinded		A		2.99
Original		A		2.41
Rewinded		A		2.91
Original		A		2.49
Rewinded		A		2.87
Original		A		2.27
Original		A		2.39
Rewinded		A		2.98
Original		A		2.47
Original		A		2.38
Rewinded		A		2.94
Original		A		2.39
Rewinded		B		2.99
Rewinded		B		2.88
Rewinded		A		3.15
Rewinded		A		3.12
Original		B		2.33
Rewinded		A		3.09
Original		B		2.31
Original		A		2.45
Original		A		2.42
Rewinded		A		3.12
Original		B		2.28
Rewinded		A		2.99
Original		B		2.29
Original		A		2.39
Rewinded		B		2.93
Rewinded		A		3.11
Original		B		2.22
Original		B		2.29
Rewinded		A		3.03
Original		B		2.22
Rewinded		B		2.99
Original		B		2.32
Rewinded		A		3.03
Original		B		2.33
Original		A		2.41
Rewinded		A		2.99
Original		A		2.48
Original		A		2.39
Original		A		2.42
Rewinded		A		2.91
Rewinded		B		3.03
Rewinded		B		3.05
Original		B		2.33
Original		A		2.51
Rewinded		B		2.88
Original		A		2.39
Rewinded		B		3.01
Rewinded		B		3.09
Rewinded		B		3.10
Original		C		2.30
Rewinded		C		2.94
Original		C		2.45
Rewinded		C		2.97
Original		C		2.43
Rewinded		C		3.11
Original		C		2.37
Rewinded		C		2.94
Original		C		2.35
Rewinded		C		3.14
Original		C		2.35
Rewinded		C		3.03
Original		C		2.33
Rewinded		C		2.95
Original		C		2.41
Rewinded		C		3.05
Original		C		2.51
Rewinded		C		3.04
Original		C		2.39
Rewinded		C		3.09
Original		C		2.45
Rewinded		C		3.02
Rewinded		C		3.08
Original		C		2.42
Rewinded		C		3.13
Original		C		2.29
Rewinded		C		3.09
Rewinded		C		3.09
Original		C		2.42
Rewinded		C		3.15
Original		C		2.39
Rewinded		C		3.12
Original		C		2.35
Rewinded		C		3.02
Original		C		2.22
Original		C		2.36
Rewinded		C		3.09
Original		C		2.41
Original		C		2.41
Rewinded		C		3.20
