Replicate Algorithm Instance Group Result
1 1 1 1 219.454
1 1 2 1 220.746
1 1 3 1 220.746
1 1 4 1 242.075
1 1 5 1 239.476
1 1 6 2 220.746
1 1 7 2 220.746
1 1 8 2 219.454
1 1 9 2 244.537
1 1 10 2 241.305
1 1 11 3 256.644
1 1 12 3 259.267
1 1 13 3 284.027
1 1 14 3 256.644
1 1 15 3 292.767
1 1 16 4 259.267
1 1 17 4 272.697
1 1 18 4 281.604
1 1 19 4 289.23
1 1 20 4 288.362
1 1 21 5 297.202
1 1 22 5 279.853
1 1 23 5 298.033
1 1 24 5 316.976
1 1 25 5 304.826
1 1 26 6 284.507
1 1 27 6 316.107
1 1 28 6 300.772
1 1 29 6 316.795
1 1 30 6 333.249
1 1 31 7 507.995
1 1 32 7 524.356
1 1 33 7 538.168
1 1 34 7 578.923
1 1 35 7 534.688
1 1 36 8 507.995
1 1 37 8 507.995
1 1 38 8 521.986
1 1 39 8 517.279
1 1 40 8 529.993
1 1 41 9 383.982
1 1 42 9 361.295
1 1 43 9 354.662
1 1 44 9 437.954
1 1 45 9 397.829
1 1 46 10 443.008
1 1 47 10 446.803
1 1 48 10 452.578
1 1 49 10 548.42
1 1 50 10 616.717
1 1 51 11 443.008
1 1 52 11 497.726
1 1 53 11 483.358
1 1 54 11 551.154
1 1 55 11 652.076
1 1 56 12 350.42
1 1 57 12 344.25
1 1 58 12 351.922
1 1 59 12 379.225
1 1 60 12 391.887
1 1 61 13 2027.2
1 1 62 13 1999.71
1 1 63 13 2227.03
1 1 64 13 2364.85
1 1 65 13 2419.77
1 1 66 14 629.121
1 1 67 14 616.146
1 1 68 14 613.979
1 1 69 14 793.97
1 1 70 14 786.75
1 1 71 15 631.946
1 1 72 15 618.768
1 1 73 15 717.076
1 1 74 15 744.567
1 1 75 15 919.684
1 1 76 16 405.923
1 1 77 16 425.158
1 1 78 16 449.368
1 1 79 16 443.083
1 1 80 16 494.352
1 1 81 17 428.745
1 1 82 17 431.271
1 1 83 17 481.411
1 1 84 17 458.865
1 1 85 17 540.864
1 1 86 18 791.689
1 1 87 18 818.341
1 1 88 18 825.401
1 1 89 18 846.648
1 1 90 18 886.672
1 1 91 19 482.242
1 1 92 19 562.959
1 1 93 19 569.862
1 1 94 19 573.342
1 1 95 19 608.34
1 1 96 20 289.636
1 1 97 20 328.386
1 1 98 20 346.949
1 1 99 20 383.491
1 1 100 20 415.481
1 1 101 21 686.599
1 1 102 21 732.088
1 1 103 21 821.914
1 1 104 21 888.876
1 1 105 21 843.795
1 1 106 22 754.463
1 1 107 22 765.36
1 1 108 22 796.251
1 1 109 22 874.27
1 1 110 22 915.556
1 1 111 23 667.182
1 1 112 23 786.218
1 1 113 23 776.98
1 1 114 23 813.494
1 1 115 23 903.255
1 1 116 24 725.455
1 1 117 24 786.255
1 1 118 24 782.289
1 1 119 24 868.939
1 1 120 24 830.727
1 1 121 25 915.744
1 1 122 25 943.379
1 1 123 25 987.898
1 1 124 25 1101.27
1 1 125 25 1126.43
1 1 126 26 828.235
1 1 127 26 806.973
1 1 128 26 936.88
1 1 129 26 1102.05
1 1 130 26 1121.76
1 1 131 27 899.932
1 1 132 27 947.309
1 1 133 27 972.499
1 1 134 27 1074.71
1 1 135 27 1190.86
1 1 136 28 924.729
1 1 137 28 1205.57
1 1 138 28 1203.34
1 1 139 28 1631.47
1 1 140 28 1991.1
1 1 141 29 1115.8
1 1 142 29 1349.81
1 1 143 29 1458.41
1 1 144 29 1642.87
1 1 145 29 1881.22
1 1 146 30 1098.73
1 1 147 30 1250.93
1 1 148 30 1292.14
1 1 149 30 1399.8
1 1 150 30 1540.88
1 1 151 31 1316.4
1 1 152 31 1511.22
1 1 153 31 1535.21
1 1 154 31 1757
1 1 155 31 1992.87
1 1 156 32 1327.78
1 1 157 32 1478.84
1 1 158 32 1536.42
1 1 159 32 1809.16
1 1 160 32 1850.96
1 1 161 33 1313.11
1 1 162 33 1403.59
1 1 163 33 1641.01
1 1 164 33 1851.03
1 1 165 33 1990.05
1 1 166 34 574.769
1 1 167 34 692.591
1 1 168 34 815.178
1 1 169 34 898.634
1 1 170 34 899.073
1 1 171 35 759.179
1 1 172 35 848.45
1 1 173 35 998.182
1 1 174 35 1033.74
1 1 175 35 1235.35
1 1 176 36 655.438
1 1 177 36 811.854
1 1 178 36 968.65
1 1 179 36 1056.79
1 1 180 36 1301.56
1 2 1 1 219.454
1 2 2 1 219.454
1 2 3 1 219.454
