Course,Subject,Height.cm,Weight.kg
PPGEE,PG-ST1,183,77
PPGEE,PG-ST2,167,56
PPGEE,PG-ST3,188,86
PPGEE,PG-ST4,177,78
PPGEE,PG-ST5,174,78
PPGEE,PG-ST6,198,113
PPGEE,PG-ST7,170,77
PPGEE,PG-ST8,181,78
PPGEE,PG-ST9,155,54
PPGEE,PG-ST10,182,96
PPGEE,PG-ST11,181,73
PPGEE,PG-ST12,165,61
PPGEE,PG-ST13,165,60
PPGEE,PG-ST14,173,76
PPGEE,PG-ST15,175,85
PPGEE,PG-ST16,181,74
PPGEE,PG-ST17,182,67
PPGEE,PG-ST18,170,64
PPGEE,PG-ST19,165,64
PPGEE,PG-ST20,175,88
PPGEE,PG-ST21,185,96
PPGEE,PG-ST22,183,85
PPGEE,PG-ST23,178,58
PPGEE,PG-ST24,170,72
PPGEE,PG-ST25,170,65
PPGEE,PG-ST26,172,98
PPGEE,PG-ST27,167,53
PPGEE,PG-ST28,179,78
