Algorithm,Instance_Group,Mean_Performance
1,1,229.58586
2,1,228.4722
3,1,236.889233333333
4,1,234.610186666667
5,1,244.552293333333
6,1,234.986826666667
7,1,271.63196
1,2,229.562433333333
2,2,227.28492
3,2,237.31808
4,2,235.881193333333
5,2,235.914826666667
6,2,236.889793333333
7,2,264.8275
1,3,274.673933333333
2,3,271.760093333333
3,3,303.066253333333
4,3,296.122273333333
5,3,296.577533333333
6,3,287.949933333333
7,3,330.611846666667
1,4,276.640846666667
2,4,272.0993
3,4,287.97592
4,4,296.03352
5,4,300.839
6,4,290.547106666667
7,4,337.42606
1,5,298.595046666667
2,5,294.241686666667
3,5,311.805913333333
4,5,326.704433333333
5,5,329.555273333333
6,5,321.075913333333
7,5,365.567286666667
1,6,306.357433333333
2,6,304.988513333333
3,6,318.4176
4,6,325.613053333333
5,6,323.486646666667
6,6,316.624153333333
7,6,374.25128
1,7,517.15876
2,7,507.098306666667
3,7,563.7838
4,7,556.982853333333
5,7,574.404373333333
6,7,537.746653333333
7,7,580.5926
1,8,518.03826
2,8,501.268153333333
3,8,559.693513333333
4,8,538.563513333333
5,8,543.31794
6,8,541.808233333333
7,8,585.7924
1,9,363.035146666667
2,9,370.401626666667
3,9,389.975486666667
4,9,386.321406666667
5,9,411.296886666667
6,9,385.514786666667
7,9,440.127026666667
1,10,493.98092
2,10,493.86364
3,10,532.177826666667
4,10,527.568006666667
5,10,553.263273333333
6,10,508.2804
7,10,579.685673333333
1,11,517.24288
2,11,499.499946666667
3,11,519.667753333333
4,11,544.573386666667
5,11,546.660213333333
6,11,511.43138
7,11,616.628086666667
1,12,360.223753333333
2,12,360.80904
3,12,384.88248
4,12,391.206993333333
5,12,389.34662
6,12,378.535413333333
7,12,446.089386666667
1,13,2208.92646666667
2,13,2099.92846666667
3,13,2268.1296
4,13,2367.39233333333
5,13,2371.40473333333
6,13,2258.22946666667
7,13,2743.63273333333
1,14,684.21394
2,14,646.58572
3,14,691.187133333333
4,14,709.033713333333
5,14,686.916266666667
6,14,686.572773333333
7,14,784.96828
1,15,678.46778
2,15,684.093493333333
3,15,737.9731
4,15,769.763333333333
5,15,750.04544
6,15,737.90414
7,15,828.961886666667
1,16,442.2686
2,16,424.520906666667
3,16,446.809326666667
4,16,458.216986666667
5,16,466.184993333333
6,16,445.26448
7,16,523.300733333333
1,17,473.384793333333
2,17,439.802993333333
3,17,474.298646666667
4,17,486.642493333333
5,17,499.61226
6,17,469.28726
7,17,559.48976
1,18,823.159673333333
2,18,788.615686666667
3,18,845.030833333333
4,18,827.06836
5,18,842.828153333333
6,18,831.3281
7,18,973.133533333333
1,19,562.581433333333
2,19,523.033466666667
3,19,578.89836
4,19,617.59654
5,19,588.14218
6,19,559.133433333333
7,19,750.45464
1,20,351.549886666667
2,20,322.959513333333
3,20,345.71958
4,20,348.82264
5,20,348.752373333333
6,20,336.394093333333
7,20,377.93658
1,21,793.554146666667
2,21,754.421506666667
3,21,811.2401
4,21,812.217106666667
5,21,807.389406666667
6,21,795.31386
7,21,886.638553333333
1,22,818.25854
2,22,771.114926666667
3,22,872.082853333333
4,22,847.842053333333
5,22,836.35956
6,22,815.389973333333
7,22,960.983133333333
1,23,788.382286666667
2,23,738.2916
3,23,830.107213333333
4,23,861.136506666667
5,23,836.432266666667
6,23,773.98432
7,23,911.929893333333
1,24,805.669393333333
2,24,752.003826666667
3,24,831.171866666667
4,24,847.615746666667
5,24,814.558853333333
6,24,803.216386666667
7,24,873.09506
1,25,1020.991
2,25,960.86458
3,25,1088.42436666667
4,25,1080.607
5,25,1060.85523333333
6,25,1008.94847333333
7,25,1126.08193333333
1,26,973.53456
2,26,951.030306666667
3,26,1080.45892666667
4,26,1013.7319
5,26,1047.73364
6,26,1007.78833333333
7,26,1165.60377333333
1,27,1020.29464666667
2,27,963.098686666667
3,27,1030.19714
4,27,1058.81958
5,27,1089.05732
6,27,1001.81209333333
7,27,1143.18964
1,28,1394.74852
2,28,1330.68756
3,28,1468.86967333333
4,28,1475.7266
5,28,1447.61679333333
6,28,1346.66157333333
7,28,1453.62886666667
1,29,1494.16566666667
2,29,1569.592
3,29,1521.37953333333
4,29,1530.2648
5,29,1474.59406666667
6,29,1459.44913333333
7,29,1581.3594
1,30,1315.83153333333
2,30,1232.6784
3,30,1329.62698666667
4,30,1342.5836
5,30,1325.85786666667
6,30,1287.81153333333
7,30,1389.3482
1,31,1625.15806666667
2,31,1615.52073333333
3,31,1746.6718
4,31,1710.24986666667
5,31,1646.8824
6,31,1685.96
7,31,1790.126
1,32,1603.30633333333
2,32,1531.72806666667
3,32,1708.53266666667
4,32,1701.06393333333
5,32,1619.35206666667
6,32,1637.2104
7,32,1743.544
1,33,1638.0496
2,33,1528.77506666667
3,33,1660.90786666667
4,33,1668.42
5,33,1620.233
6,33,1601.36593333333
7,33,1726.856
1,34,776.953266666667
2,34,759.122866666667
3,34,803.849853333333
4,34,787.256533333333
5,34,769.99546
6,34,789.944046666667
7,34,818.382546666667
1,35,975.142686666667
2,35,966.36282
3,35,1028.71606
4,35,991.3417
5,35,978.758973333333
6,35,998.72018
7,35,1045.14553333333
1,36,963.970833333333
2,36,954.337253333333
3,36,976.434426666667
4,36,979.65914
5,36,968.45654
6,36,982.531666666667
7,36,980.7348
