ID,Course,Gender,Height.m,Weight.kg
1,PPGEE,F,1.57,45.50
2,PPGEE,F,1.62,53.00
3,PPGEE,F,1.70,57.00
4,PPGEE,F,1.62,59.00
5,PPGEE,F,1.67,63.00
6,PPGEE,F,1.76,78.00
7,PPGEE,F,1.64,51.00
8,PPGEE,M,1.79,80.00
9,PPGEE,M,1.58,58.00
10,PPGEE,M,1.74,85.00
11,PPGEE,M,1.75,115.00
12,PPGEE,M,1.78,71.00
13,PPGEE,M,1.71,71.00
14,PPGEE,M,1.78,86.00
15,PPGEE,M,1.81,80.00
16,PPGEE,M,1.79,72.00
17,PPGEE,M,1.70,62.50
18,PPGEE,M,1.82,100.00
19,PPGEE,M,1.72,52.00
20,PPGEE,M,1.83,84.00
21,PPGEE,M,1.70,74.00
22,PPGEE,M,1.83,92.00
23,PPGEE,M,1.73,60.00
24,PPGEE,M,1.69,57.50
25,PPGEE,M,1.89,87.00
26,PPGEE,M,1.63,81.00
27,PPGEE,M,1.81,78.00
28,PPGEE,M,1.73,68.00
29,ENGSIS,F,1.67,53.00
30,ENGSIS,F,1.61,55.00
31,ENGSIS,F,1.56,43.00
32,ENGSIS,M,1.89,80.00
33,ENGSIS,M,1.8,97.00
34,ENGSIS,M,1.77,78.00
35,ENGSIS,M,1.67,65.00
36,ENGSIS,M,1.81,110.00
37,ENGSIS,M,1.86,110.00
38,ENGSIS,M,1.7,63.00
39,ENGSIS,M,1.79,64.00
40,ENGSIS,M,1.78,84.00
41,ENGSIS,M,1.75,57.50
42,ENGSIS,M,1.7,64.00
43,ENGSIS,M,1.82,80.00
44,ENGSIS,M,1.83,70.00
45,ENGSIS,M,1.84,73.00
46,ENGSIS,M,1.69,58.00
47,ENGSIS,M,1.75,70.00
48,ENGSIS,M,1.76,74.80
49,ENGSIS,M,1.83,85.00
